j,y
w,w
b,b
d,d
dd,D
dz,J
f,f
g,g
h,h
k,k
m,M
n,n
l,l
p,p
r,r
s,s
sh,S
t,t
td,T
tr,d
tz,C
v,v
z,z
zz,Z
mx,M
nx,n
lx,l
ng,G
ax,R
ax1,R
ax2,R
ox,A
ox1,A
ox2,A
ux,A
ux1,A
ux2,A
a,a
a1,a
a2,a
ae,@
ae1,@
ae2,@
ai,Y
ai1,Y
ai2,Y
au,W
au1,W
au2,W
e,E
e1,E
e2,E
eox,E
eox1,E
eox2,E
ei,e
ei1,e
ei2,e
i,I
i1,I
i2,I
iox,I
iox1,I
iox2,I
ii,i
ii1,i
ii2,i
o,c
o1,c
o2,c
oh,c
oh1,c
oh2,c
oi,O
oi1,O
oi2,O
ou,o
ou1,o
ou2,o
u,U
u1,U
u2,U
uox,U
uox1,U
uox2,U
uu,u
uu1,u
uu2,u
hm,m
mm,m
